image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-1080-0001.jpg, THYME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-13025-0010.jpg, UVENUTI, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-726-0007.jpg, FREE VERSE BY KAVI, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-469-0002.jpg, DARWAZA, Hand Knotted- Wool And Bamboo Silk, 168x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-1075-0002.jpg, THYME, Hand Knotted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-316-0019.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 170x240 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1790-0001.jpg, JYOTI, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-4304-0004.jpg, GENESIS, Hand Tufted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LU-07-0002.jpg, UVENUTI, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-624-0043.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESKN-472-0003.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNQ-3223-0002.jpg, CALIEDO, Hand Tufted- Wool And Viscose, 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-726-0003.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 270x360 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-2103-0001.jpg, BACHPANA, Hand Knotted- Wool And Bamboo Silk, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SIWS-03-0001.jpg, AZALEA, Hand Knotted- Wool And Silk, 300x390 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-316-0007.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 168x240 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1885-0001.jpg, MANCHAHA, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1699-0001.jpg, ADHA ADHA, Hand Knotted- Wool And Bamboo Silk, 360x540 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-624-0003.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-638-0001.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 180x270 cm
